client_code,product,benefit_est_KZT,reason_code,explain
1,fx_offer,42986.41,FX_ACTIVITY,FX/переводы: 8 597 281 ₸ → потенциальная экономия на комиссиях ≈ 42 986 ₸
2,fx_offer,41411.62,FX_ACTIVITY,FX/переводы: 8 282 324 ₸ → потенциальная экономия на комиссиях ≈ 41 412 ₸
3,fx_offer,21088.53,FX_ACTIVITY,FX/переводы: 4 217 706 ₸ → потенциальная экономия на комиссиях ≈ 21 089 ₸
4,fx_offer,39453.09,FX_ACTIVITY,FX/переводы: 7 890 618 ₸ → потенциальная экономия на комиссиях ≈ 39 453 ₸
5,fx_offer,39733.24,FX_ACTIVITY,FX/переводы: 7 946 647 ₸ → потенциальная экономия на комиссиях ≈ 39 733 ₸
6,fx_offer,41306.05,FX_ACTIVITY,FX/переводы: 8 261 211 ₸ → потенциальная экономия на комиссиях ≈ 41 306 ₸
7,fx_offer,51106.55,FX_ACTIVITY,FX/переводы: 10 221 309 ₸ → потенциальная экономия на комиссиях ≈ 51 107 ₸
8,fx_offer,52696.26,FX_ACTIVITY,FX/переводы: 10 539 251 ₸ → потенциальная экономия на комиссиях ≈ 52 696 ₸
9,fx_offer,51745.01,FX_ACTIVITY,FX/переводы: 10 349 001 ₸ → потенциальная экономия на комиссиях ≈ 51 745 ₸
10,fx_offer,52585.69,FX_ACTIVITY,FX/переводы: 10 517 138 ₸ → потенциальная экономия на комиссиях ≈ 52 586 ₸
11,fx_offer,50110.22,FX_ACTIVITY,FX/переводы: 10 022 045 ₸ → потенциальная экономия на комиссиях ≈ 50 110 ₸
12,fx_offer,51735.57,FX_ACTIVITY,FX/переводы: 10 347 115 ₸ → потенциальная экономия на комиссиях ≈ 51 736 ₸
13,fx_offer,34175.3,FX_ACTIVITY,FX/переводы: 6 835 060 ₸ → потенциальная экономия на комиссиях ≈ 34 175 ₸
14,fx_offer,49392.79,FX_ACTIVITY,FX/переводы: 9 878 559 ₸ → потенциальная экономия на комиссиях ≈ 49 393 ₸
15,fx_offer,51073.53,FX_ACTIVITY,FX/переводы: 10 214 707 ₸ → потенциальная экономия на комиссиях ≈ 51 074 ₸
16,fx_offer,32220.14,FX_ACTIVITY,FX/переводы: 6 444 029 ₸ → потенциальная экономия на комиссиях ≈ 32 220 ₸
17,fx_offer,49865.8,FX_ACTIVITY,FX/переводы: 9 973 160 ₸ → потенциальная экономия на комиссиях ≈ 49 866 ₸
18,fx_offer,48206.78,FX_ACTIVITY,FX/переводы: 9 641 355 ₸ → потенциальная экономия на комиссиях ≈ 48 207 ₸
19,fx_offer,88066.26,FX_ACTIVITY,FX/переводы: 17 613 251 ₸ → потенциальная экономия на комиссиях ≈ 88 066 ₸
20,fx_offer,79609.98,FX_ACTIVITY,FX/переводы: 15 921 996 ₸ → потенциальная экономия на комиссиях ≈ 79 610 ₸
21,fx_offer,87224.24,FX_ACTIVITY,FX/переводы: 17 444 847 ₸ → потенциальная экономия на комиссиях ≈ 87 224 ₸
22,fx_offer,78414.25,FX_ACTIVITY,FX/переводы: 15 682 851 ₸ → потенциальная экономия на комиссиях ≈ 78 414 ₸
23,fx_offer,88808.4,FX_ACTIVITY,FX/переводы: 17 761 679 ₸ → потенциальная экономия на комиссиях ≈ 88 808 ₸
24,fx_offer,85668.45,FX_ACTIVITY,FX/переводы: 17 133 689 ₸ → потенциальная экономия на комиссиях ≈ 85 668 ₸
25,fx_offer,41961.23,FX_ACTIVITY,FX/переводы: 8 392 246 ₸ → потенциальная экономия на комиссиях ≈ 41 961 ₸
26,fx_offer,41951.72,FX_ACTIVITY,FX/переводы: 8 390 345 ₸ → потенциальная экономия на комиссиях ≈ 41 952 ₸
27,fx_offer,40293.88,FX_ACTIVITY,FX/переводы: 8 058 776 ₸ → потенциальная экономия на комиссиях ≈ 40 294 ₸
28,fx_offer,41467.21,FX_ACTIVITY,FX/переводы: 8 293 442 ₸ → потенциальная экономия на комиссиях ≈ 41 467 ₸
29,fx_offer,38555.26,FX_ACTIVITY,FX/переводы: 7 711 051 ₸ → потенциальная экономия на комиссиях ≈ 38 555 ₸
30,fx_offer,42093.51,FX_ACTIVITY,FX/переводы: 8 418 701 ₸ → потенциальная экономия на комиссиях ≈ 42 094 ₸
31,fx_offer,42898.53,FX_ACTIVITY,FX/переводы: 8 579 707 ₸ → потенциальная экономия на комиссиях ≈ 42 899 ₸
32,fx_offer,46358.75,FX_ACTIVITY,FX/переводы: 9 271 749 ₸ → потенциальная экономия на комиссиях ≈ 46 359 ₸
33,fx_offer,40891.03,FX_ACTIVITY,FX/переводы: 8 178 205 ₸ → потенциальная экономия на комиссиях ≈ 40 891 ₸
34,fx_offer,40620.57,FX_ACTIVITY,FX/переводы: 8 124 114 ₸ → потенциальная экономия на комиссиях ≈ 40 621 ₸
35,fx_offer,42755.11,FX_ACTIVITY,FX/переводы: 8 551 022 ₸ → потенциальная экономия на комиссиях ≈ 42 755 ₸
36,fx_offer,39683.7,FX_ACTIVITY,FX/переводы: 7 936 741 ₸ → потенциальная экономия на комиссиях ≈ 39 684 ₸
37,fx_offer,41472.51,FX_ACTIVITY,FX/переводы: 8 294 503 ₸ → потенциальная экономия на комиссиях ≈ 41 473 ₸
38,deposit,58186.75,DEPOSIT_OPPORTUNITY,"Если положить 5 818 675 ₸ на депозит (12% годовых), месячная выручка ≈ 58 187 ₸"
39,fx_offer,40565.14,FX_ACTIVITY,FX/переводы: 8 113 027 ₸ → потенциальная экономия на комиссиях ≈ 40 565 ₸
40,fx_offer,38647.12,FX_ACTIVITY,FX/переводы: 7 729 424 ₸ → потенциальная экономия на комиссиях ≈ 38 647 ₸
41,fx_offer,40884.21,FX_ACTIVITY,FX/переводы: 8 176 842 ₸ → потенциальная экономия на комиссиях ≈ 40 884 ₸
42,fx_offer,42860.93,FX_ACTIVITY,FX/переводы: 8 572 185 ₸ → потенциальная экономия на комиссиях ≈ 42 861 ₸
43,fx_offer,42891.92,FX_ACTIVITY,FX/переводы: 8 578 385 ₸ → потенциальная экономия на комиссиях ≈ 42 892 ₸
44,fx_offer,48059.93,FX_ACTIVITY,FX/переводы: 9 611 986 ₸ → потенциальная экономия на комиссиях ≈ 48 060 ₸
45,credit_offer,93076.54,LARGE_PAYMENTS,"Оборот: 9 307 654 ₸, средний чек: 31 026 ₸ → ожидаемая выгода от кредитного продукта ≈ 93 077 ₸"
46,fx_offer,46219.93,FX_ACTIVITY,FX/переводы: 9 243 986 ₸ → потенциальная экономия на комиссиях ≈ 46 220 ₸
47,fx_offer,45305.92,FX_ACTIVITY,FX/переводы: 9 061 184 ₸ → потенциальная экономия на комиссиях ≈ 45 306 ₸
48,fx_offer,46398.8,FX_ACTIVITY,FX/переводы: 9 279 760 ₸ → потенциальная экономия на комиссиях ≈ 46 399 ₸
49,fx_offer,59226.71,FX_ACTIVITY,FX/переводы: 11 845 343 ₸ → потенциальная экономия на комиссиях ≈ 59 227 ₸
50,fx_offer,60776.93,FX_ACTIVITY,FX/переводы: 12 155 386 ₸ → потенциальная экономия на комиссиях ≈ 60 777 ₸
51,fx_offer,63863.05,FX_ACTIVITY,FX/переводы: 12 772 610 ₸ → потенциальная экономия на комиссиях ≈ 63 863 ₸
52,fx_offer,64217.55,FX_ACTIVITY,FX/переводы: 12 843 509 ₸ → потенциальная экономия на комиссиях ≈ 64 218 ₸
